b'id',b'lat',b'lon',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'122639793',b'33.6804953',b'-117.8221889',b'SJFriedl',b'2709708',b'6',b'39629616',b'2016-05-28T18:31:56Z'
b'122639831',b'33.6785878',b'-117.8259117',b'SJFriedl',b'2709708',b'8',b'39629616',b'2016-05-28T18:31:56Z'
b'122640027',b'33.6623799',b'-117.7786177',b'SJFriedl',b'2709708',b'5',b'35979412',b'2015-12-16T02:56:58Z'
b'122641348',b'33.6766684',b'-117.8253009',b'ponzu',b'101657',b'4',b'8117679',b'2011-05-12T00:01:40Z'
b'122641384',b'33.6410839',b'-117.7985062',b'techlady',b'104962',b'5',b'5200933',b'2010-07-12T18:36:44Z'
b'122642189',b'33.7207727',b'-117.7648234',b'SJFriedl',b'2709708',b'7',b'35954978',b'2015-12-14T21:20:34Z'
b'122642797',b'33.7252277',b'-117.8064454',b'SJFriedl',b'2709708',b'7',b'41676653',b'2016-08-25T00:21:17Z'
b'122645139',b'33.7103177',b'-117.7780188',b'ponzu',b'101657',b'4',b'7921952',b'2011-04-21T04:51:27Z'
b'122645648',b'33.6812520',b'-117.7918049',b'jumbanho',b'38487',b'5',b'12994939',b'2012-09-05T11:49:15Z'
b'122646533',b'33.6750697',b'-117.8071084',b'Aaron Lidman',b'53073',b'4',b'11702988',b'2012-05-26T00:02:23Z'
b'122646970',b'33.6881027',b'-117.8094722',b'ponzu',b'101657',b'4',b'7451129',b'2011-03-04T00:46:49Z'
b'122647280',b'33.6698487',b'-117.7970003',b'asrdd',b'10145706',b'6',b'79049269',b'2019-12-31T09:38:50Z'
b'122647886',b'33.6762727',b'-117.7853083',b'jedidy',b'10173462',b'4',b'79049609',b'2019-12-31T09:49:46Z'
b'122648329',b'33.7269466',b'-117.7924849',b'Zian Choy',b'296869',b'7',b'27124979',b'2014-11-30T04:57:17Z'
b'122648362',b'33.7160404',b'-117.7765354',b'OSMF Redaction Account',b'722137',b'11',b'12304314',b'2012-07-19T01:49:00Z'
b'122648404',b'33.7020043',b'-117.7565505',b'Bill Sellin',b'6203853',b'11',b'82139226',b'2020-03-13T03:58:36Z'
b'122648558',b'33.7078417',b'-117.7948750',b'SJFriedl',b'2709708',b'5',b'35093845',b'2015-11-05T04:31:55Z'
b'122648780',b'33.6616394',b'-117.7993813',b'SJFriedl',b'2709708',b'6',b'36115602',b'2015-12-22T22:51:07Z'
b'122648865',b'33.6404182',b'-117.8381407',b'bb749',b'2712376',b'8',b'81690385',b'2020-03-02T16:58:18Z'
b'122649262',b'33.7278163',b'-117.7607926',b'mahmedqg',b'10173438',b'12',b'79052082',b'2019-12-31T10:51:50Z'
b'122650209',b'33.6174124',b'-117.7417692',b'woodpeck_fixbot',b'147510',b'3',b'3562701',b'2010-01-07T15:27:23Z'
b'122651162',b'33.6140337',b'-117.8359543',b'ejjoshy',b'10173455',b'5',b'79006210',b'2019-12-30T09:11:44Z'
b'122651186',b'33.7273497',b'-117.8316385',b'SJFriedl',b'2709708',b'6',b'37805705',b'2016-03-13T18:56:52Z'
b'122651393',b'33.7252362',b'-117.8079829',b'SJFriedl',b'2709708',b'6',b'41676653',b'2016-08-25T00:21:17Z'
b'122652320',b'33.6529843',b'-117.8357238',b'Aaron Lidman',b'53073',b'5',b'11971238',b'2012-06-21T18:02:03Z'
b'122652570',b'33.6590162',b'-117.8221516',b'rzsi',b'10173444',b'6',b'79048920',b'2019-12-31T09:26:22Z'
b'122653236',b'33.6788688',b'-117.7947421',b'SJFriedl',b'2709708',b'7',b'34052145',b'2015-09-16T01:07:28Z'
b'122654467',b'33.6310205',b'-117.8124889',b'SJFriedl',b'2709708',b'5',b'40194075',b'2016-06-22T00:19:10Z'
b'122655782',b'33.7261261',b'-117.8291027',b'SJFriedl',b'2709708',b'6',b'37805705',b'2016-03-13T18:56:52Z'
b'122655816',b'33.7278075',b'-117.8317692',b'SJFriedl',b'2709708',b'8',b'37805705',b'2016-03-13T18:56:52Z'
b'122656012',b'33.6444245',b'-117.8065611',b'srygy',b'10192136',b'7',b'79047827',b'2019-12-31T08:50:38Z'
b'122656159',b'33.7019139',b'-117.7732690',b'Fluffy89502',b'10165657',b'7',b'76427666',b'2019-10-31T05:02:06Z'
